row,skill_name,student_id,correct,Problem Name
33022537,ai_definitions,64525,1,ai_definitions_p1
33022709,ai_definitions,64525,1,ai_definitions_p1
35450204,ai_definitions,70363,0,ai_definitions_p1
35450295,ai_definitions,70363,1,ai_definitions_p2
35450311,ai_definitions,70363,0,ai_definitions_p3
35450555,ai_definitions,70363,1,ai_definitions_p3
35450573,ai_definitions,70363,1,ai_definitions_p3
35480603,ai_definitions,70363,1,ai_definitions_p2
33140811,ai_definitions,70677,1,ai_definitions_p3
33140919,ai_definitions,70677,1,ai_definitions_p2
33275447,ai_definitions,70695,1,ai_definitions_p1
33275494,ai_definitions,70695,1,ai_definitions_p3
35222057,ai_definitions,70699,1,ai_definitions_p1
35222063,ai_definitions,70699,1,ai_definitions_p1
32871676,ai_definitions,70707,1,ai_definitions_p2
32871682,ai_definitions,70707,1,ai_definitions_p2
33140490,ai_definitions,70727,1,ai_definitions_p2
33140547,ai_definitions,70727,1,ai_definitions_p2
33392795,ai_definitions,70729,0,ai_definitions_p3
33392817,ai_definitions,70729,1,ai_definitions_p3
33392838,ai_definitions,70729,0,ai_definitions_p1
33392907,ai_definitions,70729,1,ai_definitions_p3
33392928,ai_definitions,70729,1,ai_definitions_p2
20421232,ai_definitions,70730,0,ai_definitions_p3
20421644,ai_definitions,70730,0,ai_definitions_p1
21463988,ai_definitions,70730,1,ai_definitions_p3
21464284,ai_definitions,70730,1,ai_definitions_p1
21464348,ai_definitions,70730,1,ai_definitions_p1
35278766,ai_definitions,70733,0,ai_definitions_p3
35278780,ai_definitions,70733,1,ai_definitions_p3
35278789,ai_definitions,70733,0,ai_definitions_p2
35278802,ai_definitions,70733,1,ai_definitions_p3
35278810,ai_definitions,70733,1,ai_definitions_p2
21067328,ai_definitions,70736,0,ai_definitions_p1
21067484,ai_definitions,70736,0,ai_definitions_p3
21068754,ai_definitions,70736,1,ai_definitions_p2
21068806,ai_definitions,70736,1,ai_definitions_p1
21068817,ai_definitions,70736,1,ai_definitions_p2
34948135,ai_definitions,70736,1,ai_definitions_p2
34948141,ai_definitions,70736,1,ai_definitions_p1
32880424,ai_definitions,70746,1,ai_definitions_p1
32880440,ai_definitions,70746,1,ai_definitions_p2
35035861,ai_definitions,70756,1,ai_definitions_p2
35035868,ai_definitions,70756,1,ai_definitions_p1
35676488,ai_definitions,70759,1,ai_definitions_p2
35676503,ai_definitions,70759,1,ai_definitions_p3
32268742,ai_definitions,70872,1,ai_definitions_p2
32268764,ai_definitions,70872,1,ai_definitions_p1
35906469,ai_definitions,70874,0,ai_definitions_p1
35906877,ai_definitions,70874,1,ai_definitions_p3
35906923,ai_definitions,70874,1,ai_definitions_p2
35907014,ai_definitions,70874,1,ai_definitions_p2
35517536,ai_definitions,71175,0,ai_definitions_p1
35517757,ai_definitions,71175,1,ai_definitions_p1
35517908,ai_definitions,71175,1,ai_definitions_p2
35517943,ai_definitions,71175,1,ai_definitions_p2
35517569,ai_definitions,71176,1,ai_definitions_p3
35517864,ai_definitions,71176,0,ai_definitions_p2
35518200,ai_definitions,71176,0,ai_definitions_p3
35518319,ai_definitions,71176,1,ai_definitions_p2
35518369,ai_definitions,71176,0,ai_definitions_p2
35517659,ai_definitions,71177,1,ai_definitions_p1
35518136,ai_definitions,71177,1,ai_definitions_p3
35517370,ai_definitions,71179,1,ai_definitions_p2
35517388,ai_definitions,71179,1,ai_definitions_p2
35644737,ai_definitions,71183,1,ai_definitions_p2
35644834,ai_definitions,71183,1,ai_definitions_p2
35517841,ai_definitions,71187,1,ai_definitions_p2
35518508,ai_definitions,71187,1,ai_definitions_p1
35517819,ai_definitions,71190,1,ai_definitions_p1
35517877,ai_definitions,71190,1,ai_definitions_p1
35521514,ai_definitions,71193,1,ai_definitions_p2
35521751,ai_definitions,71193,1,ai_definitions_p2
35517942,ai_definitions,71205,1,ai_definitions_p1
35517992,ai_definitions,71205,1,ai_definitions_p1
35519658,ai_definitions,71209,1,ai_definitions_p1
35519754,ai_definitions,71209,1,ai_definitions_p2
35517854,ai_definitions,71211,1,ai_definitions_p3
35518039,ai_definitions,71211,1,ai_definitions_p1
35518661,ai_definitions,71212,1,ai_definitions_p1
35518897,ai_definitions,71212,1,ai_definitions_p1
35518279,ai_definitions,71221,1,ai_definitions_p2
35518311,ai_definitions,71221,1,ai_definitions_p1
35533740,ai_definitions,71224,1,ai_definitions_p3
35533761,ai_definitions,71224,1,ai_definitions_p3
35529288,ai_definitions,71225,1,ai_definitions_p3
35529344,ai_definitions,71225,0,ai_definitions_p1
35529419,ai_definitions,71225,1,ai_definitions_p3
35529454,ai_definitions,71225,1,ai_definitions_p2
35529525,ai_definitions,71225,0,ai_definitions_p3
35531026,ai_definitions,71227,0,ai_definitions_p1
35531320,ai_definitions,71227,1,ai_definitions_p3
35531409,ai_definitions,71227,1,ai_definitions_p3
35531441,ai_definitions,71227,1,ai_definitions_p3
35528844,ai_definitions,71230,1,ai_definitions_p2
35528866,ai_definitions,71230,0,ai_definitions_p1
35528934,ai_definitions,71230,0,ai_definitions_p1
35528962,ai_definitions,71230,1,ai_definitions_p1
35529030,ai_definitions,71230,1,ai_definitions_p1
35594952,ai_definitions,71230,1,ai_definitions_p2
35529660,ai_definitions,71231,1,ai_definitions_p3
35529706,ai_definitions,71231,1,ai_definitions_p1
35517337,ai_definitions,71232,1,ai_definitions_p1
35517351,ai_definitions,71232,1,ai_definitions_p3
35517727,ai_definitions,71250,1,ai_definitions_p2
35517770,ai_definitions,71250,1,ai_definitions_p1
32833140,ai_definitions,71740,1,ai_definitions_p3
32833146,ai_definitions,71740,1,ai_definitions_p2
28241611,ai_definitions,71826,1,ai_definitions_p2
28241651,ai_definitions,71826,1,ai_definitions_p2
33775619,ai_definitions,71826,1,ai_definitions_p2
33775693,ai_definitions,71826,1,ai_definitions_p2
28926601,ai_definitions,71831,1,ai_definitions_p1
28926610,ai_definitions,71831,1,ai_definitions_p1
32424590,ai_definitions,71831,0,ai_definitions_p3
20431910,ai_definitions,71872,1,ai_definitions_p3
20432591,ai_definitions,71872,1,ai_definitions_p2
35534803,ai_definitions,71874,0,ai_definitions_p3
35535333,ai_definitions,71874,1,ai_definitions_p2
35535380,ai_definitions,71874,0,ai_definitions_p3
35535614,ai_definitions,71874,0,ai_definitions_p1
35535784,ai_definitions,71874,1,ai_definitions_p2
35452819,ai_definitions,71881,1,ai_definitions_p1
35452827,ai_definitions,71881,1,ai_definitions_p2
33409110,ai_definitions,72059,0,ai_definitions_p1
33409165,ai_definitions,72059,0,ai_definitions_p3
33409366,ai_definitions,72059,1,ai_definitions_p3
33409387,ai_definitions,72059,1,ai_definitions_p3
33409424,ai_definitions,72059,0,ai_definitions_p3
33508059,ai_definitions,72059,1,ai_definitions_p2
33508071,ai_definitions,72059,1,ai_definitions_p3
33305182,ai_definitions,72378,1,ai_definitions_p2
33305221,ai_definitions,72378,1,ai_definitions_p1
35497315,ai_definitions,72880,1,ai_definitions_p1
35497329,ai_definitions,72880,1,ai_definitions_p2
20549937,ai_definitions,73684,0,ai_definitions_p2
22834125,ai_definitions,73684,1,ai_definitions_p1
22834134,ai_definitions,73684,1,ai_definitions_p2
33774521,ai_definitions,73684,1,ai_definitions_p1
33774534,ai_definitions,73684,1,ai_definitions_p3
35676341,ai_definitions,73685,1,ai_definitions_p3
35676358,ai_definitions,73685,0,ai_definitions_p1
35676391,ai_definitions,73685,1,ai_definitions_p1
35676398,ai_definitions,73685,1,ai_definitions_p1
